"ts","instrument_name","currency","expiration","strike","putcall","best_bid_amount","best_bid_price","mark_price","best_ask_price","best_ask_amount","is_atm","open_interest","delta","gamma","rho","theta","vega","bid_iv","mark_iv","ask_iv","underlying_price","index_price"
"2024-04-17 19:44:00","BTC-18APR24-57000-C","BTC","2024-04-18 08:00:00","57000","C",1.2,0.0001,0.0649,0,0,FALSE,2.1,0.95256,4e-05,0.75703,-120.86409,2.2539,0,107.25,0,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-57000-P","BTC","2024-04-18 08:00:00","57000","P",28.7,0.0006,0.0008,0.001,2.1,FALSE,120.3,-0.04798,4e-05,-0.04161,-49.4153,2.27397,101.11,107.25,112.01,60889.2737,60910.78
"2024-04-17 19:44:00","BTC-18APR24-56000-C","BTC","2024-04-18 08:00:00","56000","C",1.2,0.0001,0.0809,0,0,FALSE,2.5,0.97468,2e-05,0.76222,-78.10098,1.34619,0,116.03,0,60902.5613,60913.97
"2024-04-17 19:44:00","BTC-18APR24-56000-P","BTC","2024-04-18 08:00:00","56000","P",46.3,0.0002,0.0004,0.0007,10,FALSE,116.3,-0.02557,2e-05,-0.02217,-26.00699,1.35707,103.35,116.03,126.49,60891.4184,60897.55
"2024-04-17 19:44:00","BTC-19APR24-98000-C","BTC","2024-04-19 08:00:00","98000","C",0,0,0,0.0001,3,FALSE,141.7,0,0,0,-0.0001,2e-05,0,141.35,252.38,60886.77,60913.97
"2024-04-17 19:44:00","BTC-19APR24-98000-P","BTC","2024-04-19 08:00:00","98000","P",0,0,0.6099,0,0,FALSE,0,-1,0,-4.05723,-0.00105,2e-05,0,141.35,0,60886.77,60913.97
"2024-04-17 19:44:00","BTC-19APR24-96000-C","BTC","2024-04-19 08:00:00","96000","C",0,0,0,0.0001,3,FALSE,49.5,0,0,0,-7e-05,2e-05,0,133.54,242.63,60886.77,60913.97
"2024-04-17 19:44:00","BTC-19APR24-96000-P","BTC","2024-04-19 08:00:00","96000","P",0,0,0.5767,0,0,FALSE,0,-1,0,-3.97443,-0.00069,2e-05,0,133.54,0,60890.02,60912.76
"2024-04-17 19:44:00","BTC-19APR24-94000-C","BTC","2024-04-19 08:00:00","94000","C",0,0,0,0.0001,3,FALSE,69.9,0,0,0,-7e-05,2e-05,0,127.61,232.62,60886.77,60913.97
"2024-04-17 19:44:00","BTC-19APR24-94000-P","BTC","2024-04-19 08:00:00","94000","P",0,0,0.5438,0,0,FALSE,0,-1,0,-3.89163,-0.00069,2e-05,0,127.61,0,60890.02,60912.76
