"ts","amount","block_trade_id","direction","index_price","price","mark_price","trade_id","trade_seq"
"2024-04-17 19:50:18.825+00",11690,"","buy",61181.04,61164,61165.39,"297862645",205030231
"2024-04-17 19:50:18.825+00",10110,"","buy",61181.04,61164,61165.39,"297862646",205030232
"2024-04-17 19:50:18.761+00",10350,"","buy",61181.04,61164,61165.39,"297862644",205030230
"2024-04-17 19:50:18.754+00",38390,"","buy",61181.04,61164,61165.39,"297862643",205030229
"2024-04-17 19:50:15.279+00",840,"","buy",61177.94,61164,61162.34,"297862641",205030228
"2024-04-17 19:50:15.273+00",840,"","sell",61177.94,61245,61238.41,"297862640",304741
"2024-04-17 19:50:15.253+00",840,"","buy",61177.94,61164,61162.34,"297862639",205030227
"2024-04-17 19:50:15.219+00",4160,"","buy",61177.94,61164,61162.34,"297862638",205030226
"2024-04-17 19:50:15.214+00",840,"","sell",61177.94,61245,61238.41,"297862637",304740
"2024-04-17 19:50:15.163+00",5000,"","buy",61177.94,61164,61162.34,"297862636",205030225
"2024-04-17 19:50:15.161+00",4160,"","sell",61177.94,61245,61238.41,"297862635",304739
"2024-04-17 19:50:15.115+00",840,"","buy",61177.94,61164,61162.34,"297862634",205030224
"2024-04-17 19:50:15.11+00",5000,"","sell",61177.94,61242.5,61238.41,"297862633",304738
"2024-04-17 19:50:15.088+00",840,"","sell",61177.94,61242.5,61238.41,"297862632",304737
"2024-04-17 19:50:15.086+00",9160,"","buy",61177.94,61164,61162.34,"297862631",205030223
"2024-04-17 19:50:15.074+00",9160,"","sell",61177.94,61242.5,61238.41,"297862630",304736
"2024-04-17 19:50:15.061+00",840,"","buy",61177.94,61164,61162.34,"297862629",205030222
"2024-04-17 19:50:15.03+00",9160,"","buy",61177.94,61164,61162.34,"297862628",205030221
"2024-04-17 19:50:15.002+00",840,"","sell",61177.94,61247.5,61238.41,"297862627",304735
"2024-04-17 19:50:14.979+00",830,"","buy",61177.94,61164,61162.34,"297862626",205030220
"2024-04-17 19:50:14.979+00",10,"","buy",61177.94,61164,61162.34,"297862625",205030219
"2024-04-17 19:50:14.977+00",9160,"","sell",61178.57,61247.5,61239.04,"297862624",304734
"2024-04-17 19:50:14.965+00",840,"","sell",61178.57,61247.5,61239.04,"297862623",304733
"2024-04-17 19:50:14.962+00",9160,"","buy",61177.94,61164,61162.34,"297862622",205030218
"2024-04-17 19:50:14.908+00",9160,"","sell",61178.57,61245,61239.04,"297862621",304732
"2024-04-17 19:50:14.814+00",100,"","buy",61178.57,62202.5,62207.23,"297862620",1159556
"2024-04-17 19:50:07.804+00",40530,"","buy",61184.29,61164,61169.23,"297862616",205030215
"2024-04-17 19:50:07.804+00",2330,"","buy",61184.29,61164,61169.23,"297862618",205030217
"2024-04-17 19:50:07.804+00",5280,"","buy",61184.29,61164,61169.23,"297862617",205030216
"2024-04-17 19:50:06.216+00",14390,"","sell",61181.38,61163.5,61166.51,"297862615",205030214
"2024-04-17 19:50:05.759+00",840,"","buy",61178.67,61164,61163.89,"297862614",205030213
"2024-04-17 19:50:05.754+00",840,"","sell",61178.67,61242.5,61239.08,"297862613",304731
"2024-04-17 19:50:05.753+00",4160,"","buy",61178.67,61164,61163.89,"297862612",205030212
"2024-04-17 19:50:05.74+00",5840,"","buy",61178.67,61164,61163.89,"297862611",205030211
"2024-04-17 19:50:05.74+00",4160,"","sell",61178.67,61242.5,61239.08,"297862610",304730
"2024-04-17 19:50:05.733+00",5840,"","sell",61178.67,61242.5,61239.08,"297862609",304729
"2024-04-17 19:50:05.733+00",4160,"","buy",61178.67,61164,61163.89,"297862608",205030210
"2024-04-17 19:50:05.687+00",4160,"","sell",61178.67,61242.5,61239.08,"297862607",304728
"2024-04-17 19:50:04.074+00",21420,"","sell",61177.36,61163.5,61162.58,"297862606",205030209
"2024-04-17 19:50:00.518+00",20,"","sell",61186.66,61166.5,61171.99,"297862605",205030208
"2024-04-17 19:50:00.281+00",100,"","sell",61186.66,61171.5,61171.99,"297862602",205030205
"2024-04-17 19:50:00.281+00",12090,"","sell",61186.66,61170.5,61171.99,"297862603",205030206
"2024-04-17 19:50:00.281+00",15000,"","sell",61186.66,61169,61171.99,"297862604",205030207
"2024-04-17 19:50:00.14+00",81160,"","sell",61186.66,61171,61171.99,"297862601",205030204
"2024-04-17 19:50:00.135+00",3070,"","sell",61186.66,61171.5,61171.99,"297862600",205030203
"2024-04-17 19:50:00.134+00",1400,"","sell",61186.66,61242.5,61247.22,"297862599",304727
"2024-04-17 19:50:00.129+00",3560,"","sell",61186.66,61242.5,61247.22,"297862598",304726
"2024-04-17 19:50:00.128+00",2100,"","sell",61186.66,61242.5,61247.22,"297862597",304725
"2024-04-17 19:50:00.127+00",800,"","sell",61186.66,61242.5,61247.22,"297862596",304724
"2024-04-17 19:50:00.119+00",15000,"","sell",61186.66,61173,61171.99,"297862594",205030202
"2024-04-17 19:50:00.119+00",4300,"","sell",61186.66,61245,61247.22,"297862595",304723
"2024-04-17 19:50:00.117+00",7800,"","sell",61186.66,61245,61247.22,"297862593",304722
"2024-04-17 19:50:00.116+00",12090,"","sell",61186.66,61174.5,61171.99,"297862592",205030201
"2024-04-17 19:50:00.115+00",940,"","sell",61186.66,61245,61247.22,"297862591",304721
"2024-04-17 19:50:00.114+00",760,"","sell",61186.66,61245,61247.22,"297862589",304719
"2024-04-17 19:50:00.114+00",100,"","sell",61186.66,61245,61247.22,"297862590",304720
"2024-04-17 19:50:00.113+00",1100,"","sell",61186.66,61245,61247.22,"297862588",304718
"2024-04-17 19:50:00.113+00",100,"","sell",61186.66,61177.5,61171.99,"297862587",205030200
"2024-04-17 19:49:59.126+00",4590,"","buy",61185.71,61185,61170.79,"297862585",205030199
"2024-04-17 19:49:59.101+00",1210,"","buy",61185.71,61184.5,61170.79,"297862584",205030198
"2024-04-17 19:49:59.064+00",400,"","buy",61185.71,61180,61170.79,"297862582",205030196
"2024-04-17 19:49:59.064+00",60,"","buy",61185.71,61180,61170.79,"297862583",205030197
"2024-04-17 19:49:59.039+00",10,"","buy",61185.71,61171,61170.79,"297862579",205030194
"2024-04-17 19:49:59.039+00",3730,"","buy",61185.71,61171,61170.79,"297862580",205030195
"2024-04-17 19:49:59.039+00",60,"","sell",61185.71,61250,61246.2,"297862581",304717
"2024-04-17 19:49:59.021+00",50,"","sell",61185.71,61250,61246.2,"297862577",304716
"2024-04-17 19:49:59.021+00",60,"","buy",61185.71,61170,61170.79,"297862578",205030193
"2024-04-17 19:49:59.001+00",5730,"","sell",61185.71,61250,61246.2,"297862576",304715
"2024-04-17 19:49:59+00",10,"","buy",61185.71,61167,61170.79,"297862574",205030191
"2024-04-17 19:49:59+00",40,"","buy",61185.71,61167,61170.79,"297862575",205030192
"2024-04-17 19:49:58.996+00",4270,"","sell",61185.71,61250,61246.2,"297862573",304714
"2024-04-17 19:49:58.255+00",11700,"","buy",61186.16,61167,61171.16,"297862571",205030189
"2024-04-17 19:49:58.255+00",50,"","buy",61186.16,61167,61171.16,"297862572",205030190
"2024-04-17 19:49:58.189+00",600,"","buy",61186.16,61167,61171.16,"297862570",205030188
"2024-04-17 19:49:57.794+00",600,"","sell",61186.16,61247.5,61246.31,"297862569",304713
"2024-04-17 19:49:57.693+00",10,"","buy",61183.12,61152.5,61160.48,"297862568",85674
"2024-04-17 19:49:56.989+00",5000,"","buy",61183.12,61167,61168.27,"297862567",205030187
"2024-04-17 19:49:56.984+00",5000,"","sell",61183.12,61245,61243.27,"297862566",304712
"2024-04-17 19:49:56.982+00",130,"","buy",61183.12,61167,61168.27,"297862565",205030186
"2024-04-17 19:49:56.957+00",130,"","sell",61183.12,61245,61243.27,"297862564",304711
"2024-04-17 19:49:56.956+00",9870,"","buy",61183.12,61167,61168.27,"297862563",205030185
"2024-04-17 19:49:56.94+00",9870,"","sell",61183.12,61245,61243.27,"297862562",304710
"2024-04-17 19:49:42.138+00",600,"","sell",61180.61,63452.5,63460.24,"297862550",444679
"2024-04-17 19:49:35.544+00",120,"","sell",61188.15,65140,65151.07,"297862548",228767
"2024-04-17 19:49:33.254+00",130,"","buy",61187.59,61171,61171.09,"297862547",205030184
"2024-04-17 19:49:33.249+00",4870,"","buy",61187.59,61171,61171.09,"297862546",205030183
"2024-04-17 19:49:33.248+00",130,"","sell",61187.59,61250,61245.3,"297862545",304709
"2024-04-17 19:49:33.243+00",5130,"","buy",61187.59,61171,61171.09,"297862544",205030182
"2024-04-17 19:49:33.242+00",4870,"","sell",61187.59,61250,61245.3,"297862543",304708
"2024-04-17 19:49:33.237+00",5130,"","sell",61187.59,61250,61245.3,"297862542",304707
"2024-04-17 19:49:33.237+00",4870,"","buy",61187.59,61171,61171.09,"297862541",205030181
"2024-04-17 19:49:33.218+00",4870,"","sell",61187.59,61250,61245.3,"297862540",304706
"2024-04-17 19:49:31.476+00",600,"","sell",61188,63460,63465.99,"297862539",444678
"2024-04-17 19:49:29.734+00",2330,"","sell",61190.96,65140,65151.25,"297862538",228766
"2024-04-17 19:49:26.992+00",5130,"","buy",61182.4,61171,61165.77,"297862537",205030180
"2024-04-17 19:49:26.983+00",5130,"","sell",61182.4,61250,61238.59,"297862536",304705
"2024-04-17 19:49:26.983+00",4860,"","buy",61182.4,61171,61165.77,"297862535",205030179
"2024-04-17 19:49:26.956+00",4860,"","sell",61182.4,61250,61238.59,"297862534",304704
"2024-04-17 19:49:26.06+00",610,"","buy",61154.82,61167.5,61137.55,"297862532",205030178
"2024-04-17 19:49:25.817+00",560,"","buy",61154.82,61155.5,61137.55,"297862531",205030177
"2024-04-17 19:49:25.813+00",610,"","buy",61154.82,61155.5,61137.55,"297862530",205030176
"2024-04-17 19:49:25.739+00",90,"","buy",61154.82,61825,61810.37,"297862529",42145
"2024-04-17 19:49:25.674+00",900,"","buy",61154.82,61157.5,61137.55,"297862523",205030170
"2024-04-17 19:49:25.674+00",3980,"","buy",61154.82,61161.5,61137.55,"297862526",205030173
"2024-04-17 19:49:25.674+00",80,"","buy",61154.82,61159.5,61137.55,"297862525",205030172
"2024-04-17 19:49:25.674+00",1480,"","buy",61154.82,61165,61137.55,"297862527",205030174
"2024-04-17 19:49:25.674+00",140,"","buy",61154.82,61156,61137.55,"297862522",205030169
"2024-04-17 19:49:25.674+00",5720,"","buy",61154.82,61158.5,61137.55,"297862524",205030171
"2024-04-17 19:49:25.674+00",7700,"","buy",61154.82,61167,61137.55,"297862528",205030175
"2024-04-17 19:49:25.622+00",2150,"","buy",61154.82,61155.5,61137.55,"297862521",205030168
"2024-04-17 19:49:25.615+00",270,"","buy",61154.82,61155.5,61137.55,"297862520",205030167
"2024-04-17 19:49:25.581+00",3670,"","buy",61154.82,61227.5,61210.19,"297862519",304703
"2024-04-17 19:49:25.58+00",470,"","buy",61154.82,61227.5,61210.19,"297862518",304702
"2024-04-17 19:49:25.572+00",900,"","buy",61154.82,61227.5,61210.19,"297862517",304701
"2024-04-17 19:49:25.57+00",10,"","buy",61154.82,61135,61130.59,"297862516",85673
"2024-04-17 19:49:25.513+00",1200,"","buy",61154.82,61149,61137.55,"297862515",205030166
"2024-04-17 19:49:25.513+00",3860,"","buy",61154.82,61149,61137.55,"297862514",205030165
"2024-04-17 19:49:25.429+00",9560,"","buy",61145.34,61141,61128.07,"297862513",205030164
"2024-04-17 19:49:24.821+00",4720,"","buy",61145.34,61141,61128.07,"297862512",205030163
"2024-04-17 19:49:24.821+00",140,"","buy",61145.34,61141,61128.07,"297862511",205030162
"2024-04-17 19:49:24.801+00",100,"","buy",61145.34,63410,63420.71,"297862510",444677
"2024-04-17 19:49:24.801+00",100,"","buy",61145.34,63410,63420.71,"297862509",444676
"2024-04-17 19:49:24.761+00",140,"","buy",61145.34,61131,61128.07,"297862508",205030161
"2024-04-17 19:49:24.736+00",140,"","buy",61145.34,61128,61128.07,"297862507",205030160
"2024-04-17 19:49:24.735+00",5000,"","sell",61145.34,61207.5,61200.71,"297862506",304700
"2024-04-17 19:49:24.713+00",140,"","sell",61145.34,61207.5,61200.71,"297862505",304699
"2024-04-17 19:49:24.711+00",7460,"","buy",61145.34,61128,61128.07,"297862504",205030159
"2024-04-17 19:49:24.711+00",50,"","buy",61145.34,61128,61128.07,"297862502",205030157
"2024-04-17 19:49:24.711+00",2340,"","buy",61145.34,61128,61128.07,"297862503",205030158
