"pre_tx_ob_ts","tx_ts","post_tx_ob_ts","trade_seq","trade_id","instrument_name","currency","expiration","strike","putcall","block_trade_id","liquidation","direction","tick_direction","tx_amount","tx_iv","cash_iv","price","price_usd","index_price","underlying_price","volume_24h","high_24h","low_24h","pre_tx_bb_size","pre_tx_bb_price","pre_tx_bb_iv","pre_tx_mid_iv","pre_tx_mid_price","pre_tx_mark_iv","pre_tx_mark_price","pre_tx_ba_iv","pre_tx_ba_price","pre_tx_ba_size","post_tx_bb_size","post_tx_bb_price","post_tx_bb_iv","post_tx_mid_iv","post_tx_mid_price","post_tx_mark_iv","post_tx_mark_price","post_tx_ba_iv","post_tx_ba_price","post_tx_ba_size","delta","gamma","theta","vega","rho","pre_tx_oi","post_tx_oi","oi_change","dbt_dir","gvol_dir","max_score_perc"
"2024-04-17 19:41:05.655","2024-04-17 19:41:08.117","2024-04-17 19:41:09.914","518","297861546","BTC-31MAY24-82000-C","BTC","2024-05-31 08:00:00",82000,"C",,,"sell","ZeroPlus",0.2,73.52,75.6,0.0185,1123.81,60746.74,61369.01,49,0.0245,0.017,17,0.0185,73.55,73.85,0.01875,73.21,0.0183,74.15,0.019,43.5,26,0.018,72.99,73.6,0.0185,73.22,0.0182,74.21,0.019,43.5,0.1538,2e-05,-42.273,50.24572,9.9263,438.2,438.2,0,-1,1,55
"2024-04-17 19:40:25.546","2024-04-17 19:41:03.969","2024-04-17 19:41:03.969","101","297861522","BTC-18APR24-62000-C","BTC","2024-04-18 08:00:00",62000,"C",,,"sell","ZeroMinus",0.7,69.89,inf,0.0033,200.47,60750.74,60746.4973,85.7,0.0354,0.0024,1,0.0033,67.5,69.24,0.0035,68.39,0.0034,70.98,0.0037,9,1,0.0029,66.25,68.52,0.00315,68.48,0.0031,70.79,0.0034,0.7,0.2169,0.00019,-190.9176,6.68983,0.1825,54.5,55.2,0.7,-1,-1,11
"2024-04-17 19:40:26.213","2024-04-17 19:40:49.272","2024-04-17 19:40:49.272","659","297861504","BTC-26APR24-48000-P","BTC","2024-04-26 08:00:00",48000,"P",,,"buy","PlusTick",0.2,96.66,96.6,0.003,182.35,60785.29,60840.06,5.4,0.0036,0.002,0.1,0.0028,95.42,96.1,0.0029,95.09,0.0028,96.79,0.003,12,4,0.0026,93.86,95.26,0.0028,95.11,0.0028,96.66,0.003,11.8,-0.0441,1e-05,-48.4272,8.66971,-0.6655,242,241.8,-0.1,1,1,100
"2024-04-17 19:40:23.232","2024-04-17 19:40:47.192","2024-04-17 19:40:47.289","655","297861489","BTC-28JUN24-42000-P","BTC","2024-06-28 08:00:00",42000,"P",,,"sell","MinusTick",0.2,74.46,72.1,0.016,972.69,60793.22,61799.77,3.3,0.0165,0.012,37.4,0.0155,73.85,74.54,0.016,74.78,0.0162,75.24,0.0165,36.2,32.7,0.0155,73.77,74.46,0.016,74.77,0.0163,75.15,0.0165,12.1,-0.0913,1e-05,-23.4809,44.916,-13.0255,373.8,373.8,0,-1,-1,77
"2024-04-17 19:40:26.995","2024-04-17 19:40:43.374","2024-04-17 19:40:43.514","1507","297861409","BTC-26APR24-59000-P","BTC","2024-04-26 08:00:00",59000,"P",,,"sell","ZeroPlus",0.2,72.36,0,0.03,1822.95,60765.17,60830.94,324.2,0.039,0.0155,28.7,0.029,71,71.87,0.0295,71.9,0.0295,72.74,0.03,28.5,33.3,0.0295,71.49,72.36,0.03,71.91,0.0297,73.23,0.0305,57.8,-0.3695,6e-05,-148.0787,35.06127,-5.6643,606.3,606,-0.2,-1,1,77
"2024-04-17 19:40:26.995","2024-04-17 19:40:43.333","2024-04-17 19:40:43.514","1506","297861408","BTC-26APR24-59000-P","BTC","2024-04-26 08:00:00",59000,"P",,,"sell","PlusTick",0.1,72.36,0,0.03,1822.95,60765.17,60830.94,324.2,0.039,0.0155,28.7,0.029,71,71.87,0.0295,71.9,0.0295,72.74,0.03,28.5,33.3,0.0295,71.49,72.36,0.03,71.91,0.0297,73.23,0.0305,57.8,-0.3695,6e-05,-148.0787,35.06127,-5.6643,606.3,606,-0.2,-1,1,77
"2024-04-17 19:40:25.546","2024-04-17 19:40:42.547","2024-04-17 19:40:42.899","100","297861403","BTC-18APR24-62000-C","BTC","2024-04-18 08:00:00",62000,"C",,,"sell","ZeroMinus",0.1,68.64,67.1,0.0033,200.59,60786.71,60783.2611,85.7,0.0354,0.0024,1,0.0033,67.5,69.24,0.0035,68.39,0.0034,70.98,0.0037,9,0.7,0.0033,68.7,70.02,0.00345,68.42,0.0033,71.35,0.0036,10.6,0.2237,0.00019,-198.6603,6.81344,0.1884,54.5,54.5,0,-1,-1,77
"2024-04-17 19:40:25.546","2024-04-17 19:40:42.494","2024-04-17 19:40:42.494","99","297861402","BTC-18APR24-62000-C","BTC","2024-04-18 08:00:00",62000,"C",,,"sell","ZeroMinus",0.1,68.64,67.1,0.0033,200.59,60786.71,60785.2899,85.4,0.0354,0.0024,1,0.0033,67.5,69.24,0.0035,68.39,0.0034,70.98,0.0037,9,0.8,0.0033,68.64,69.96,0.00345,68.42,0.0033,71.28,0.0036,4.6,0.2241,0.00019,-199.096,6.82024,0.1887,54.5,54.5,0,-1,-1,77
"2024-04-17 19:40:25.546","2024-04-17 19:40:42.346","2024-04-17 19:40:42.494","98","297861399","BTC-18APR24-62000-C","BTC","2024-04-18 08:00:00",62000,"C",,,"sell","MinusTick",0.1,68.64,67.1,0.0033,200.59,60786.71,60785.2899,85.4,0.0354,0.0024,1,0.0033,67.5,69.24,0.0035,68.39,0.0034,70.98,0.0037,9,0.8,0.0033,68.64,69.96,0.00345,68.42,0.0033,71.28,0.0036,4.6,0.2241,0.00019,-199.096,6.82024,0.1887,54.5,54.5,0,-1,-1,77
"2024-04-17 19:40:26.945","2024-04-17 19:40:42.3","2024-04-17 19:40:42.448","126","297861396","BTC-18APR24-60500-P","BTC","2024-04-18 08:00:00",60500,"P",,,"buy","PlusTick",0.1,74.89,78.1,0.009,547.08,60786.71,60783.2611,76,0.018,0.002,14.7,0.0085,72.66,74.36,0.00875,75.27,0.0089,76.07,0.009,0.1,18.5,0.0085,71.49,74.88,0.009,75.28,0.0091,78.28,0.0095,5.5,-0.4287,0.00023,-336.7539,8.94714,-0.3741,48.9,48.9,0,1,-1,77
"2024-04-17 19:40:25.885","2024-04-17 19:40:29.047","2024-04-17 19:40:44.44","1122","297861367","BTC-19APR24-58000-P","BTC","2024-04-19 08:00:00",58000,"P",,,"buy","PlusTick",14.7,85.89,86.6,0.006,364.85,60809.52,60732.94,195.1,0.0117,0.0022,10.2,0.0055,83.23,84.67,0.00575,85.43,0.0058,86.12,0.006,14.7,27.5,0.0055,82.28,85.12,0.006,85.44,0.006,87.96,0.0065,60.5,-0.1936,8e-05,-303.0797,10.73605,-0.5028,633.2,633.2,0,1,-1,100
"2024-04-17 19:40:05.865","2024-04-17 19:40:24.497","2024-04-17 19:40:24.497","342","297861354","BTC-18APR24-60000-P","BTC","2024-04-18 08:00:00",60000,"P",,,"sell","PlusTick",0.1,76.59,78.6,0.006,364.94,60824.04,60799.8031,197.3,0.015,0.0014,74,0.0055,73.82,77.57,0.006,79.74,0.0063,81.33,0.0065,2,14.6,0.006,76.59,80.29,0.0065,79.73,0.0063,84,0.007,84.8,-0.3236,0.0002,-326.7732,8.19664,-0.2825,173.5,173.6,0,-1,-1,66
"2024-04-17 19:40:05.266","2024-04-17 19:40:23.022","2024-04-17 19:40:23.022","467","297861351","BTC-28JUN24-38000-P","BTC","2024-06-28 08:00:00",38000,"P",,,"sell","PlusTick",0.2,76.75,75.1,0.009,547.47,60830.29,61817.88,2.8,0.0085,0.0075,4,0.009,76.81,77.31,0.00925,77.2,0.0092,77.82,0.0095,6.9,3.8,0.009,76.75,77.25,0.00925,77.2,0.0092,77.76,0.0095,6.9,-0.0553,1e-05,-16.5163,30.60023,-7.8228,273.5,273.7,0.1,-1,-1,100
"2024-04-17 19:40:06.463","2024-04-17 19:40:19.947","2024-04-17 19:40:19.947","1027","297861342","BTC-28JUN24-40000-P","BTC","2024-06-28 08:00:00",40000,"P",,,"sell","ZeroPlus",0.1,75.41,73.6,0.012,729.74,60812.21,61820.81,12.9,0.013,0.0085,18.9,0.012,75.49,75.9,0.01225,75.8,0.0122,76.32,0.0125,4,18.8,0.012,75.41,75.82,0.01225,75.8,0.0122,76.24,0.0125,4,-0.0714,1e-05,-19.7723,37.30946,-10.1311,864.6,864.5,-0.1,-1,-1,100
